Code,LA_name,Bed based intermediate Care Services,Reablement in a persons own home,LA_code.x,area_code,region_code,region_name,metric,value,date,over_65_pop.x,reablement_BCF_percapita,reablement_BCF_per65s,LA_code.y,episodes_over65,over_65_pop.y,population,per_cap
E10000003,Cambridgeshire,3992149,9098111,E10000003,623,E12000006,East of England,Population,546654,2023-03-31,127606,16.64327161239102,71.29845775277025,E10000003,3710,127606,546654,29.073867999937306
E10000006,Cumbria,425000,6975000,E10000006,102,E12000002,North West,Population,410445,2023-03-31,122247,16.993750685231884,57.05661488625488,E10000006,1805,122247,410445,14.76518851178352
E10000007,Derbyshire,49000,10419209.4818,E10000007,506,E12000004,East Midlands,Population,645265,2023-03-31,176790,16.147179037759678,58.93551378358504,E10000007,3525,176790,645265,19.938910571864923
E10000008,Devon,8537000,NA,E10000008,912,E12000009,South West,Population,669414,2023-03-31,210941,NA,NA,E10000008,4180,210941,669414,19.815967498020775
E10000011,East Sussex,4956000,1664400,E10000011,815,E12000008,South East,Population,444925,2023-03-31,143415,3.74085520031466,11.60548059826378,E10000011,1780,143415,444925,12.411532963776452
E10000012,Essex,NA,18959468.28977436,E10000012,620,E12000006,East of England,Population,1192754,2023-03-31,311792,15.895539474002483,60.80806527997626,E10000012,8980,311792,1192754,28.801252116795812
E10000013,Gloucestershire,1741144,7246000,E10000013,904,E12000009,South West,Population,519401,2023-03-31,140793,13.950685501183093,51.46562684224358,E10000013,940,140793,519401,6.676468290326934
E10000014,Hampshire,1884959.550248658,8687567,E10000014,812,E12000008,South East,Population,1125084,2023-03-31,306459,7.721705223787735,28.34821950081414,E10000014,8590,306459,1125084,28.029850648863306
E10000015,Hertfordshire,23002038,20749552,E10000015,606,E12000006,East of England,Population,932239,2023-03-31,205571,22.257760080837638,100.93618263276434,E10000015,2965,205571,932239,14.423240632190339
E10000016,Kent,26512560.932641156,3140468.7163994955,E10000016,820,E12000008,South East,Population,1242310,2023-03-31,321314,2.5279267786619246,9.773830945428756,E10000016,6150,321314,1242310,19.14015573551106
E10000017,Lancashire,30462780,9786024.127,E10000017,323,E12000002,North West,Population,985378,2023-03-31,257935,9.93123869926059,37.93988457169442,E10000017,5480,257935,985378,21.245662666950974
E10000018,Leicestershire,859157.9240000001,1296603.5292366003,E10000018,508,E12000004,East Midlands,Population,571853,2023-03-31,149067,2.26737208554751,8.698125871162633,E10000018,3835,149067,571853,25.726686657677423
E10000019,Lincolnshire,NA,5936461,E10000019,503,E12000004,East Midlands,Population,625240,2023-03-31,181412,9.49469163841085,32.72364011201023,E10000019,2500,181412,625240,13.780786276541795
E10000020,Norfolk,9462790,11714888,E10000020,607,E12000006,East of England,Population,750944,2023-03-31,225266,15.600215195806877,52.00468779132226,E10000020,5520,225266,750944,24.504363729990324
E10000023,North Yorkshire,1841537,268000,E10000023,218,E12000003,Yorkshire and The Humber,Population,505031,2023-03-31,155016,0.5306604941082824,1.7288537957372143,E10000023,765,155016,505031,4.934974454249884
E10000024,Nottinghamshire,7397138,5025036,E10000024,511,E12000004,East Midlands,Population,662892,2023-03-31,176230,7.580474647453884,28.51407819327016,E10000024,5605,176230,662892,31.80502752085343
E10000025,Oxfordshire,11790191,2110000,E10000025,608,E12000008,South East,Population,580148,2023-03-31,130843,3.637002971655509,16.126197045313848,E10000025,1280,130843,580148,9.78271669099608
E10000027,Somerset,2280000,NA,E10000027,905,E12000009,South West,Population,463674,2023-03-31,142838,NA,NA,E10000027,3630,142838,463674,25.413405396323107
E10000028,Staffordshire,8405264.6226,7984081.116346047,E10000028,413,E12000005,West Midlands,Population,708870,2023-03-31,195404,11.263110466441022,40.85935352575202,E10000028,550,195404,708870,2.8146813780680024
E10000029,Suffolk,2931419.536717779,12364953.623401342,E10000029,609,E12000006,East of England,Population,616276,2023-03-31,180481,20.063986952925866,68.51110988636667,E10000029,7695,180481,616276,42.63606695441626
E10000030,Surrey,NA,8362350,E10000030,805,E12000008,South East,Population,946024,2023-03-31,228579,8.839469188942353,36.58406940270103,E10000030,3310,228579,946024,14.480770324483002
E10000031,Warwickshire,2198000,5662000,E10000031,404,E12000005,West Midlands,Population,479532,2023-03-31,123463,11.807345495191145,45.859893247369655,E10000031,1140,123463,479532,9.233535553161676
E10000032,West Sussex,13924512,4211776.354452897,E10000032,807,E12000008,South East,Population,710169,2023-03-31,202708,5.9306677064936615,20.777553695231056,E10000032,1390,202708,710169,6.857154133038656
E10000034,Worcestershire,23109401,4545275,E10000034,416,E12000005,West Midlands,Population,487104,2023-03-31,138949,9.33122084811457,32.71182232329848,E10000034,2830,138949,487104,20.36718508229638
Total,NA,624155185.27935,579656507.7526883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10468153,44774763,NA
